Age,Gender,City,Income Range,Employment Status,Order Frequency,Platforms Used,Meal Types,Preferred Cuisines,Spend per Order,Order Influence,Veg Preference,Combo Preference,Group Size,New Combo Likeliness (1-5),Satisfaction (1-5),Acceptable Delivery Time,Repeat Order,Recommended to Others,Tried TasteMate,Experience Rating,Loyalty Program Interest,Preferred Order Day,Communication Opt-in,Delivery Issues
<18,Male,Mumbai,₹30k–50k,Student,Once a week,"Others, Zomato, Direct",Lunch,Fusion,₹400–600,"Taste, Delivery time",Non-Veg,Depends,Solo,3,2,20–30 min,Yes,Yes,No,,No,Sat,No,"Cold food, Long wait time, Limited choice"
55+,Prefer not to say,Mumbai,₹15k–30k,Working professional,Daily,Others,Breakfast,Continental,₹200–400,Price,Non-Veg,Depends,Solo,4,4,<20 min,Yes,Yes,No,,Yes,Sat,Yes,Limited choice
35–44,Female,Pune,₹15k–30k,Working professional,2–3 times/week,Swiggy,"Snacks, Lunch",Continental,₹100–200,Price,Non-Veg,A la carte,2 people,2,5,<20 min,Sometimes,No,No,,No,Tue,Yes,Poor packaging
18–24,Male,Mumbai,₹30k–50k,Student,2–3 times/week,Direct,Snacks,"Italian, Chinese, Indian",₹200–400,Quantity,Both,A la carte,2 people,4,3,20–30 min,Sometimes,No,No,,Yes,Fri,No,"Cold food, Long wait time"
18–24,Female,Bangalore,₹30k–50k,Working professional,Once a week,Others,Snacks,Italian,₹600+,Price,Non-Veg,A la carte,2 people,3,3,30–45 min,Yes,Yes,No,,Maybe,Fri,No,Long wait time
18–24,Female,Bangalore,₹15k–30k,Working professional,Once a week,Direct,Breakfast,"Fusion, Chinese, Italian",₹200–400,Taste,Veg,Depends,2 people,2,4,45+ min,No,Yes,Yes,3.0,No,Thu,Yes,Limited choice
25–34,Male,Delhi,₹50k–75k,Retired,Once a week,"Others, Swiggy",Dinner,Continental,₹400–600,Price,Both,Depends,2 people,4,4,30–45 min,No,Yes,No,,Yes,Sat,No,Long wait time
25–34,Female,Pune,₹30k–50k,Retired,2–3 times/week,"Direct, Zomato",Breakfast,Fusion,<₹100,Discounts,Non-Veg,Combo,Family (3–4),1,4,45+ min,Sometimes,No,No,,Maybe,Mon,Yes,"Cold food, High price, Long wait time"
25–34,Female,Mumbai,<₹15k,Working professional,2–3 times/week,Zomato,Snacks,"Continental, Fusion, Indian",₹200–400,Quantity,Both,Depends,2 people,3,1,45+ min,No,No,No,,Yes,Wed,No,Cold food
18–24,Male,Hyderabad,₹50k–75k,Working professional,Rarely,Zomato,Breakfast,Indian,₹200–400,Packaging,Veg,A la carte,Family (3–4),1,4,20–30 min,Yes,No,No,,No,Mon,Yes,Cold food
25–34,Female,Kolkata,₹15k–30k,Working professional,Daily,Others,Dinner,"Fusion, Chinese, Indian",₹400–600,Delivery time,Both,Combo,Solo,3,2,20–30 min,Sometimes,No,No,,Yes,Thu,Yes,"Cold food, High price"
18–24,Male,Bangalore,₹30k–50k,Working professional,2–3 times/week,"Zomato, Direct",Lunch,"Italian, Fusion, Chinese",<₹100,Packaging,Veg,Depends,2 people,4,4,30–45 min,Sometimes,Yes,Yes,3.0,Yes,Wed,Yes,High price
18–24,Female,Pune,₹30k–50k,Working professional,Never,Direct,Snacks,Chinese,₹400–600,Packaging,Veg,A la carte,Family (3–4),3,5,20–30 min,No,Yes,No,,No,Sun,Yes,Cold food
25–34,Non-binary,Mumbai,₹15k–30k,Homemaker,Daily,Zomato,"Snacks, Breakfast, Lunch","Indian, Chinese",₹200–400,Price,Veg,Depends,Solo,3,4,20–30 min,Sometimes,No,Yes,3.0,Yes,Sat,Yes,Poor packaging
25–34,Female,Bangalore,<₹15k,Working professional,Rarely,Zomato,"Dinner, Breakfast, Snacks","Indian, Fusion, Italian",₹100–200,Price,Both,Combo,Family (3–4),3,2,20–30 min,Sometimes,No,No,,Maybe,Mon,No,High price
35–44,Male,Delhi,₹30k–50k,Homemaker,2–3 times/week,Zomato,Dinner,Fusion,₹100–200,"Discounts, Delivery time, Taste",Both,Combo,2 people,2,5,20–30 min,No,No,No,,Yes,Sat,Yes,High price
18–24,Female,Hyderabad,₹75k+,Working professional,Once a week,Zomato,Dinner,Chinese,₹100–200,Packaging,Non-Veg,A la carte,Solo,3,5,20–30 min,No,No,No,,Yes,Sat,Yes,Long wait time
25–34,Female,Kolkata,₹30k–50k,Student,Once a week,"Swiggy, Direct","Lunch, Dinner, Snacks",Fusion,₹200–400,"Packaging, Delivery time, Quantity",Both,Combo,2 people,5,4,20–30 min,Sometimes,No,No,,No,Wed,Yes,High price
25–34,Male,Delhi,₹30k–50k,Homemaker,Daily,Direct,Dinner,"Continental, Fusion, Indian",<₹100,Quantity,Non-Veg,Depends,Solo,5,3,20–30 min,Yes,No,No,,Yes,Mon,No,Cold food
<18,Female,Hyderabad,₹30k–50k,Working professional,Once a week,"Others, Zomato",Breakfast,"Continental, Chinese, Fusion",₹100–200,"Discounts, Packaging",Both,Combo,Large group,2,3,30–45 min,Yes,No,Yes,2.0,Yes,Tue,No,"Cold food, Poor packaging"
25–34,Male,Mumbai,₹15k–30k,Working professional,2–3 times/week,"Zomato, Direct","Snacks, Lunch, Breakfast",Italian,₹400–600,Discounts,Both,A la carte,Family (3–4),1,5,20–30 min,Yes,No,No,,Maybe,Wed,No,"Cold food, Poor packaging"
18–24,Female,Bangalore,₹30k–50k,Working professional,2–3 times/week,Zomato,Lunch,Indian,₹100–200,Discounts,Veg,Combo,Solo,5,4,30–45 min,Sometimes,Yes,Yes,5.0,No,Sat,Yes,Limited choice
18–24,Male,Bangalore,₹50k–75k,Student,2–3 times/week,Swiggy,Breakfast,Fusion,₹100–200,"Delivery time, Price, Taste",Non-Veg,Combo,Solo,3,5,20–30 min,Sometimes,Yes,No,,Yes,Fri,Yes,Cold food
45–54,Male,Kolkata,₹15k–30k,Other,2–3 times/week,Swiggy,Lunch,Continental,₹200–400,Quantity,Both,Depends,2 people,3,3,20–30 min,Yes,Yes,Yes,2.0,No,Sun,Yes,High price
55+,Male,Hyderabad,₹15k–30k,Student,Once a week,"Zomato, Swiggy",Snacks,"Continental, Indian, Italian",₹200–400,"Price, Quantity",Both,Combo,Solo,4,3,20–30 min,Sometimes,No,No,,Maybe,Sat,No,Limited choice
35–44,Female,Delhi,₹15k–30k,Other,2–3 times/week,"Direct, Others, Swiggy",Breakfast,"Continental, Fusion, Italian",₹200–400,Quantity,Both,A la carte,Solo,3,5,20–30 min,Sometimes,Yes,No,,Yes,Wed,Yes,High price
25–34,Male,Mumbai,₹30k–50k,Other,2–3 times/week,Swiggy,Snacks,Italian,₹200–400,Taste,Both,Depends,2 people,3,4,30–45 min,Sometimes,Yes,No,,No,Sat,Yes,High price
18–24,Female,Mumbai,₹75k+,Homemaker,Never,Zomato,Lunch,"Indian, Italian, Chinese",₹200–400,Packaging,Veg,A la carte,Solo,5,2,30–45 min,Yes,Yes,Yes,2.0,Yes,Tue,No,Poor packaging
35–44,Male,Delhi,<₹15k,Working professional,Daily,Direct,"Lunch, Snacks",Italian,₹200–400,Quantity,Both,Depends,Solo,4,3,30–45 min,No,No,No,,Maybe,Mon,No,High price
25–34,Male,Delhi,₹30k–50k,Working professional,Rarely,Others,Lunch,"Fusion, Chinese, Italian",₹100–200,Price,Non-Veg,Combo,Family (3–4),2,4,45+ min,No,Yes,No,,Maybe,Fri,Yes,Limited choice
18–24,Female,Pune,₹15k–30k,Retired,Daily,Zomato,Lunch,Chinese,₹100–200,Quantity,Both,Combo,Family (3–4),2,1,20–30 min,No,Yes,No,,Maybe,Thu,Yes,"Cold food, High price, Limited choice"
25–34,Female,Bangalore,₹75k+,Working professional,2–3 times/week,Direct,Breakfast,Continental,₹200–400,Discounts,Non-Veg,Depends,Family (3–4),2,4,20–30 min,No,Yes,Yes,2.0,Maybe,Thu,Yes,Poor packaging
<18,Male,Bangalore,₹15k–30k,Working professional,Once a week,"Zomato, Others","Breakfast, Dinner",Italian,₹100–200,Taste,Non-Veg,Depends,Family (3–4),4,3,20–30 min,Sometimes,No,No,,Yes,Sat,Yes,Poor packaging
45–54,Female,Mumbai,₹30k–50k,Working professional,Daily,"Swiggy, Others, Direct",Dinner,Fusion,₹200–400,Discounts,Non-Veg,A la carte,Solo,2,4,<20 min,Yes,Yes,No,,Yes,Sun,Yes,Limited choice
18–24,Female,Pune,₹50k–75k,Working professional,2–3 times/week,Direct,Breakfast,Fusion,₹200–400,"Price, Discounts, Delivery time",Non-Veg,A la carte,Solo,1,3,20–30 min,Sometimes,Yes,Yes,4.0,Yes,Thu,No,"Poor packaging, Long wait time, Cold food"
35–44,Female,Hyderabad,₹50k–75k,Working professional,2–3 times/week,"Direct, Others, Zomato","Snacks, Dinner",Fusion,₹100–200,"Delivery time, Packaging",Veg,A la carte,Solo,5,5,20–30 min,Yes,No,No,,Yes,Thu,Yes,Poor packaging
25–34,Male,Mumbai,₹30k–50k,Working professional,2–3 times/week,Direct,Breakfast,Fusion,₹100–200,"Taste, Packaging, Delivery time",Both,Combo,Family (3–4),2,3,20–30 min,Yes,Yes,No,,No,Fri,No,"Limited choice, Cold food, Poor packaging"
25–34,Male,Hyderabad,₹15k–30k,Working professional,2–3 times/week,Others,"Lunch, Snacks, Breakfast","Fusion, Chinese, Continental",₹100–200,Packaging,Both,Depends,Family (3–4),1,4,<20 min,Yes,Yes,No,,Maybe,Sat,Yes,"Poor packaging, High price, Limited choice"
25–34,Female,Bangalore,₹30k–50k,Retired,2–3 times/week,Others,Dinner,Indian,₹200–400,Packaging,Veg,A la carte,2 people,2,2,<20 min,Yes,No,Yes,2.0,Yes,Wed,Yes,Limited choice
18–24,Male,Mumbai,₹15k–30k,Working professional,2–3 times/week,Direct,Snacks,"Continental, Indian, Fusion",₹200–400,Price,Both,A la carte,Family (3–4),2,4,30–45 min,Yes,Yes,Yes,3.0,Yes,Sun,No,Long wait time
55+,Female,Bangalore,₹15k–30k,Retired,Once a week,Zomato,"Lunch, Snacks, Dinner",Italian,₹200–400,Discounts,Both,Depends,2 people,3,5,30–45 min,Sometimes,No,Yes,2.0,Maybe,Sat,No,Cold food
35–44,Female,Bangalore,₹30k–50k,Working professional,Rarely,Zomato,Dinner,"Fusion, Continental, Chinese",₹100–200,"Discounts, Price, Packaging",Non-Veg,Combo,Solo,5,5,30–45 min,No,Yes,No,,Yes,Fri,No,Limited choice
45–54,Female,Mumbai,₹15k–30k,Homemaker,Once a week,Zomato,Dinner,Indian,₹200–400,Packaging,Veg,Combo,Solo,5,4,30–45 min,Yes,Yes,No,,Yes,Sun,No,High price
45–54,Female,Pune,₹15k–30k,Working professional,Once a week,Others,Lunch,Chinese,₹400–600,"Delivery time, Discounts, Taste",Both,Depends,Solo,3,4,<20 min,No,No,No,,No,Sun,Yes,"Long wait time, High price, Cold food"
25–34,Prefer not to say,Chennai,₹30k–50k,Homemaker,2–3 times/week,Others,Breakfast,Italian,₹100–200,Packaging,Both,Depends,Solo,3,5,20–30 min,Yes,No,No,,Yes,Tue,Yes,High price
45–54,Male,Hyderabad,₹75k+,Student,Daily,"Direct, Others",Breakfast,Italian,₹200–400,Delivery time,Non-Veg,A la carte,2 people,3,5,<20 min,Yes,Yes,Yes,3.0,Maybe,Tue,Yes,"Limited choice, High price, Poor packaging"
18–24,Female,Bangalore,₹30k–50k,Homemaker,2–3 times/week,Zomato,Dinner,Italian,₹600+,"Delivery time, Packaging, Discounts",Both,Combo,Solo,2,5,30–45 min,No,Yes,Yes,5.0,Yes,Sat,No,Long wait time
18–24,Male,Bangalore,<₹15k,Student,Once a week,Zomato,"Dinner, Lunch",Chinese,₹100–200,Delivery time,Veg,Combo,2 people,1,3,30–45 min,No,No,No,,Maybe,Sun,Yes,"Long wait time, Poor packaging"
<18,Male,Hyderabad,<₹15k,Retired,2–3 times/week,Direct,Dinner,Italian,₹200–400,Discounts,Non-Veg,A la carte,2 people,5,5,20–30 min,Sometimes,No,Yes,4.0,No,Sat,Yes,Poor packaging
25–34,Female,Bangalore,₹75k+,Other,2–3 times/week,Direct,Lunch,Continental,<₹100,Price,Veg,Combo,Solo,2,3,20–30 min,Yes,Yes,No,,Yes,Thu,Yes,"High price, Poor packaging, Long wait time"
25–34,Female,Mumbai,₹15k–30k,Working professional,Rarely,"Zomato, Swiggy","Snacks, Lunch, Breakfast","Fusion, Continental",₹200–400,Delivery time,Veg,Depends,Solo,2,3,45+ min,Sometimes,No,No,,Yes,Sat,No,Long wait time
18–24,Prefer not to say,Bangalore,<₹15k,Working professional,Rarely,Direct,Lunch,Chinese,<₹100,"Taste, Quantity, Packaging",Both,Depends,Solo,3,2,20–30 min,No,Yes,Yes,5.0,Yes,Wed,No,Cold food
35–44,Female,Chennai,₹30k–50k,Homemaker,2–3 times/week,Direct,Breakfast,Continental,₹600+,Price,Both,Depends,Solo,3,3,30–45 min,Sometimes,Yes,No,,Yes,Sun,No,Cold food
25–34,Male,Bangalore,₹30k–50k,Working professional,2–3 times/week,Swiggy,Breakfast,"Indian, Italian",₹200–400,Quantity,Non-Veg,Combo,Family (3–4),1,4,20–30 min,Yes,Yes,No,,Yes,Thu,Yes,Poor packaging
18–24,Male,Mumbai,₹30k–50k,Retired,Daily,Zomato,Lunch,"Indian, Italian, Chinese",₹200–400,Price,Veg,Depends,Solo,2,5,20–30 min,No,Yes,No,,No,Sun,Yes,Poor packaging
25–34,Female,Chennai,₹15k–30k,Student,Once a week,Direct,Lunch,"Chinese, Indian",₹200–400,Taste,Both,Combo,2 people,3,4,30–45 min,No,Yes,No,,No,Thu,Yes,"Limited choice, High price, Long wait time"
18–24,Male,Delhi,<₹15k,Student,2–3 times/week,Swiggy,Dinner,Italian,₹200–400,Price,Both,Combo,Family (3–4),4,4,30–45 min,Sometimes,Yes,Yes,5.0,No,Sun,Yes,Cold food
35–44,Male,Delhi,₹75k+,Other,2–3 times/week,Others,Lunch,Continental,₹200–400,Price,Both,Combo,Family (3–4),2,4,30–45 min,Yes,Yes,No,,Yes,Thu,Yes,"Cold food, Long wait time"
18–24,Male,Mumbai,₹15k–30k,Working professional,Rarely,Zomato,"Lunch, Breakfast",Chinese,₹400–600,"Quantity, Discounts, Taste",Both,Combo,Family (3–4),3,4,20–30 min,No,Yes,No,,No,Sat,Yes,Long wait time
55+,Male,Delhi,₹30k–50k,Homemaker,Once a week,Others,"Lunch, Snacks, Dinner",Indian,₹600+,Taste,Non-Veg,Depends,Solo,3,3,20–30 min,Yes,Yes,No,,Yes,Sun,Yes,"Long wait time, Limited choice, Cold food"
35–44,Male,Chennai,₹50k–75k,Working professional,2–3 times/week,"Swiggy, Others",Snacks,Chinese,₹200–400,Packaging,Both,Combo,Solo,5,5,30–45 min,No,Yes,Yes,4.0,Maybe,Fri,No,Cold food
18–24,Male,Bangalore,₹30k–50k,Working professional,Daily,Direct,Breakfast,Chinese,₹400–600,Discounts,Veg,Combo,Solo,3,4,20–30 min,Yes,No,No,,Maybe,Sat,Yes,"Cold food, Long wait time, Limited choice"
<18,Male,Delhi,₹15k–30k,Working professional,2–3 times/week,Swiggy,Dinner,"Fusion, Chinese, Indian",₹200–400,Quantity,Non-Veg,Depends,Solo,2,4,20–30 min,Yes,Yes,No,,Maybe,Tue,No,"Long wait time, High price"
35–44,Male,Pune,₹15k–30k,Working professional,Once a week,Zomato,Snacks,Indian,₹200–400,"Packaging, Taste, Price",Non-Veg,Combo,Family (3–4),3,4,30–45 min,No,No,No,,Maybe,Fri,Yes,Limited choice
35–44,Prefer not to say,Pune,₹30k–50k,Working professional,Never,"Swiggy, Others","Snacks, Dinner, Lunch",Fusion,₹200–400,Taste,Non-Veg,Depends,2 people,4,5,20–30 min,Yes,Yes,No,,Yes,Sun,Yes,Long wait time
35–44,Male,Pune,₹50k–75k,Working professional,2–3 times/week,Swiggy,Dinner,Fusion,₹100–200,Quantity,Both,Combo,Solo,2,3,20–30 min,Yes,Yes,No,,Yes,Wed,Yes,High price
35–44,Male,Delhi,₹75k+,Working professional,2–3 times/week,"Others, Direct",Breakfast,Fusion,<₹100,Delivery time,Both,Combo,Solo,3,3,30–45 min,Yes,Yes,No,,Maybe,Sat,Yes,High price
18–24,Female,Bangalore,₹15k–30k,Working professional,Once a week,Swiggy,Lunch,Continental,₹100–200,Discounts,Veg,Depends,Solo,1,4,45+ min,Yes,No,No,,Yes,Sat,Yes,Long wait time
25–34,Male,Kolkata,₹15k–30k,Homemaker,2–3 times/week,"Direct, Others, Swiggy",Breakfast,Fusion,₹200–400,Quantity,Veg,Combo,2 people,1,4,20–30 min,Sometimes,Yes,Yes,3.0,Yes,Wed,No,Long wait time
18–24,Female,Chennai,₹75k+,Working professional,2–3 times/week,Swiggy,Snacks,Fusion,₹100–200,Taste,Non-Veg,A la carte,2 people,3,5,20–30 min,No,Yes,No,,Maybe,Wed,No,"Cold food, Limited choice, Long wait time"
45–54,Female,Mumbai,₹50k–75k,Working professional,Once a week,Swiggy,Breakfast,Chinese,₹200–400,Delivery time,Veg,Combo,Family (3–4),2,3,30–45 min,Sometimes,No,No,,No,Thu,No,High price
25–34,Male,Mumbai,₹50k–75k,Working professional,Once a week,Others,"Snacks, Lunch",Continental,₹600+,Taste,Both,Combo,Family (3–4),4,3,30–45 min,Yes,No,No,,Yes,Tue,Yes,Poor packaging
25–34,Male,Bangalore,₹15k–30k,Working professional,Rarely,Direct,"Breakfast, Lunch, Snacks",Fusion,₹100–200,Price,Both,Combo,Solo,4,5,30–45 min,Sometimes,No,No,,Yes,Sun,No,"Long wait time, Cold food, Poor packaging"
18–24,Female,Pune,₹30k–50k,Homemaker,Once a week,Others,Dinner,Italian,₹200–400,"Quantity, Taste, Delivery time",Both,Combo,Solo,3,4,20–30 min,No,Yes,No,,Yes,Sat,Yes,"Poor packaging, Limited choice, High price"
25–34,Female,Bangalore,₹50k–75k,Working professional,Once a week,Others,"Dinner, Lunch, Snacks","Chinese, Fusion, Italian",₹100–200,Taste,Both,Combo,Solo,3,4,20–30 min,No,Yes,No,,Maybe,Thu,No,High price
25–34,Male,Bangalore,₹30k–50k,Student,2–3 times/week,Direct,"Lunch, Snacks",Continental,<₹100,"Price, Quantity",Both,Depends,Solo,3,3,30–45 min,No,No,Yes,3.0,Yes,Wed,Yes,"Poor packaging, Cold food, Limited choice"
35–44,Female,Mumbai,₹30k–50k,Student,Daily,Swiggy,Breakfast,Chinese,₹200–400,Price,Non-Veg,A la carte,Family (3–4),1,3,30–45 min,Sometimes,Yes,Yes,3.0,Maybe,Sat,No,Long wait time
25–34,Male,Hyderabad,<₹15k,Working professional,Once a week,Zomato,Dinner,Fusion,₹200–400,Delivery time,Veg,Combo,2 people,5,4,30–45 min,No,No,No,,Maybe,Thu,No,Long wait time
45–54,Prefer not to say,Chennai,₹30k–50k,Homemaker,2–3 times/week,"Direct, Zomato, Others","Dinner, Snacks",Fusion,₹200–400,Delivery time,Non-Veg,A la carte,2 people,5,2,<20 min,Yes,No,No,,Yes,Wed,No,Poor packaging
25–34,Male,Delhi,₹15k–30k,Student,Once a week,Others,"Dinner, Snacks, Lunch",Chinese,₹100–200,Packaging,Non-Veg,Depends,Solo,2,5,20–30 min,Yes,No,No,,Yes,Thu,Yes,Limited choice
18–24,Female,Chennai,₹30k–50k,Homemaker,Once a week,Direct,"Snacks, Dinner","Italian, Continental, Indian",₹200–400,Packaging,Both,Depends,Solo,2,4,20–30 min,No,Yes,No,,No,Sun,Yes,"High price, Poor packaging, Limited choice"
35–44,Female,Kolkata,₹75k+,Working professional,Once a week,Direct,Lunch,Chinese,₹100–200,Taste,Veg,Depends,Solo,2,3,45+ min,No,Yes,No,,Maybe,Mon,Yes,Limited choice
35–44,Female,Delhi,₹30k–50k,Working professional,Rarely,"Swiggy, Others",Dinner,Continental,₹100–200,"Quantity, Packaging",Non-Veg,Depends,2 people,4,4,30–45 min,Yes,No,No,,Yes,Thu,Yes,Cold food
25–34,Female,Bangalore,₹50k–75k,Retired,Once a week,Zomato,"Snacks, Dinner",Indian,<₹100,Packaging,Non-Veg,Combo,2 people,4,4,20–30 min,Yes,Yes,Yes,4.0,Maybe,Sun,Yes,Cold food
35–44,Male,Delhi,₹15k–30k,Working professional,Once a week,Others,Lunch,"Continental, Fusion",₹100–200,Delivery time,Both,Combo,Solo,4,3,<20 min,No,Yes,No,,Yes,Mon,No,"High price, Poor packaging"
25–34,Male,Chennai,₹30k–50k,Working professional,2–3 times/week,"Others, Direct",Dinner,"Chinese, Continental",₹100–200,Price,Non-Veg,A la carte,2 people,4,3,20–30 min,Sometimes,Yes,No,,Yes,Sun,Yes,Poor packaging
25–34,Male,Bangalore,₹75k+,Student,Rarely,Swiggy,Dinner,Chinese,₹100–200,Discounts,Both,A la carte,Family (3–4),3,3,<20 min,Yes,Yes,No,,Maybe,Thu,Yes,Cold food
25–34,Male,Hyderabad,₹15k–30k,Student,Once a week,"Others, Direct, Swiggy",Snacks,Fusion,₹600+,Price,Both,A la carte,Solo,4,4,30–45 min,Yes,Yes,No,,Yes,Tue,Yes,"Limited choice, Long wait time, Poor packaging"
<18,Female,Chennai,<₹15k,Working professional,2–3 times/week,Others,Lunch,Italian,₹100–200,Quantity,Veg,A la carte,2 people,4,4,30–45 min,Sometimes,No,No,,No,Mon,Yes,Cold food
18–24,Male,Delhi,₹30k–50k,Student,Once a week,Zomato,Breakfast,"Italian, Continental",₹100–200,Discounts,Non-Veg,Depends,Solo,3,4,20–30 min,No,Yes,No,,Yes,Mon,Yes,Limited choice
<18,Male,Pune,<₹15k,Working professional,2–3 times/week,Zomato,Lunch,Indian,₹100–200,Taste,Both,Depends,2 people,3,4,20–30 min,Yes,Yes,No,,Maybe,Tue,Yes,Cold food
25–34,Non-binary,Bangalore,₹50k–75k,Working professional,2–3 times/week,"Swiggy, Direct, Zomato",Breakfast,Italian,₹200–400,"Taste, Discounts, Packaging",Non-Veg,A la carte,Family (3–4),4,4,30–45 min,Sometimes,Yes,No,,Maybe,Mon,Yes,"Limited choice, Poor packaging"
25–34,Female,Mumbai,₹75k+,Working professional,2–3 times/week,Others,Dinner,"Continental, Indian, Fusion",<₹100,Delivery time,Both,Depends,Large group,3,4,20–30 min,No,Yes,No,,Maybe,Thu,No,"Long wait time, Poor packaging, Limited choice"
25–34,Female,Hyderabad,₹30k–50k,Student,2–3 times/week,Direct,Snacks,Italian,₹400–600,"Quantity, Packaging, Price",Veg,Combo,Solo,4,4,20–30 min,No,No,No,,Yes,Mon,Yes,Long wait time
45–54,Prefer not to say,Chennai,₹15k–30k,Working professional,2–3 times/week,Swiggy,Snacks,Italian,₹600+,Packaging,Veg,Combo,Solo,4,3,45+ min,Sometimes,No,No,,Yes,Sat,No,Long wait time
18–24,Male,Delhi,₹30k–50k,Working professional,Once a week,Direct,"Snacks, Lunch, Dinner",Fusion,₹100–200,Discounts,Both,Combo,Solo,4,5,30–45 min,Sometimes,Yes,Yes,2.0,No,Sat,No,Poor packaging
25–34,Male,Pune,₹50k–75k,Other,2–3 times/week,Zomato,Snacks,"Indian, Chinese, Continental",₹200–400,Discounts,Both,A la carte,Solo,4,4,30–45 min,Yes,No,No,,Yes,Sun,Yes,Cold food
35–44,Female,Pune,<₹15k,Student,Once a week,Zomato,"Breakfast, Dinner, Lunch","Fusion, Chinese, Continental",<₹100,Packaging,Both,Combo,2 people,3,5,20–30 min,Yes,Yes,Yes,1.0,No,Fri,No,Long wait time
18–24,Female,Delhi,₹30k–50k,Retired,Daily,"Others, Swiggy, Direct",Breakfast,Indian,₹200–400,Packaging,Both,Depends,Family (3–4),4,4,<20 min,Yes,No,No,,No,Sun,Yes,Long wait time
18–24,Male,Kolkata,₹30k–50k,Working professional,Never,Zomato,"Dinner, Breakfast, Snacks",Continental,₹200–400,Taste,Both,Combo,Solo,3,3,<20 min,Yes,Yes,No,,Yes,Mon,Yes,High price
18–24,Female,Mumbai,₹30k–50k,Working professional,Never,Swiggy,Snacks,Chinese,₹100–200,Price,Both,A la carte,Solo,2,4,20–30 min,Yes,Yes,Yes,2.0,Maybe,Tue,Yes,Long wait time
18–24,Male,Delhi,₹15k–30k,Working professional,Rarely,"Zomato, Others",Snacks,Italian,₹100–200,"Taste, Quantity",Both,Combo,Solo,1,3,30–45 min,Yes,Yes,No,,Maybe,Wed,Yes,High price
45–54,Male,Mumbai,₹50k–75k,Student,2–3 times/week,Others,Lunch,Italian,₹200–400,"Quantity, Price",Non-Veg,Combo,Solo,3,4,20–30 min,Sometimes,No,No,,Maybe,Sat,No,Long wait time
35–44,Female,Pune,<₹15k,Student,Daily,Swiggy,Dinner,Continental,₹200–400,"Delivery time, Taste, Price",Non-Veg,Depends,Solo,3,4,30–45 min,Sometimes,Yes,No,,Yes,Sun,Yes,High price
25–34,Female,Hyderabad,₹15k–30k,Working professional,Once a week,"Zomato, Direct",Lunch,Indian,₹100–200,Packaging,Both,A la carte,Solo,5,5,20–30 min,No,No,No,,Yes,Fri,Yes,Limited choice
